#{"t_start": 1712074606.010513, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-532.732617,189,5.057535
-451.093636,84,5.901666
-83.073774,126,7.04815
-111.104273,219,8.996679
-13.951136,209,10.990247
-315.992853,177,12.542749
-441.883291,205,14.444568
-387.023471,186,16.152943
-557.188197,193,17.993416
-255.778073,161,19.536217
-384.522407,222,21.696092
-739.517901,137,23.082793
-371.725378,137,24.334412
-118.9123,320,27.335927
-130.874317,161,28.866723
-324.279114,251,31.198293
-281.496724,530,36.688311
-271.338242,408,40.963355
-103.684794,324,44.15449
-247.552903,264,46.804705
-297.099981,659,53.377508
-209.579299,582,59.505265
-141.288583,562,65.433008
-119.372798,385,69.601768
-321.419599,667,76.69658
-101.797242,694,84.155554
-179.709994,656,91.257453
225.212716,544,97.150396
-99.074398,825,106.887684
-67.267348,515,112.675064
-38.179367,363,116.992661
-24.244834,445,122.871789
-73.639046,350,126.742923
-115.497959,595,134.422967
-189.583433,724,143.905429
-182.549083,482,149.485515
-95.843698,342,153.471622
-56.141293,251,156.396269
-59.719229,302,159.823614
-75.558383,380,164.09023
-78.213899,68,164.870627
